"","RN","PN","Rdate"
"13854","MK623036","QBL89923","2018/12/14"
"13852","MK623220","QBL90199","2018/12/13"
"13880","MK839311","QCF42574","2019/01/31"
"13879","MK635631","QBM11982","2018/12/28"
"13878","MK636451","QBM13185","2018/12/13"
"11385","MK744642","QBS20542","2019/01/16"
"5807","MK743434","QBS19125","2019/01/10"
"8260","MK636123","QBM12710","2018/12/30"
"13221","MK380039","AZY31644","2018/10/31"
"10140","MK265459","AZJ60596","2018/10/24"
"12479","MK763014","QBX91264","2019/01/08"
"5693","MK839803","QCF43291","2019/01/24"
"13845","MK474789","QAY27347","2018/12/03"
"2792","MN001008","QCW13761","2018/12/24"
"5097","MK292625","AZL96904","2018/10/23"
"5357","MK592849","QBJ05996","2018/10/27"
"5354","MK592839","QBJ05986","2018/10/26"
"5342","MK595698","QBK12115","2018/10/23"
"5351","MK592845","QBJ05992","2018/10/01"
"5355","MK592840","QBJ05987","2018/10/19"
"10348","MK912283","QCP66416","2019/03/13"
"5803","MK271173","AZK23210","2018/09/07"
"5703","MN169584","QDK57684","2019/03/14"
"451","MK398665","QAB01900","2018/11/05"
"452","MK623990","QAB01900","2018/11/05"
"14897","MK077488","AYN08258","2018/08/23"
"2984","MK077336","AYN08030","2018/08/27"
"361","MK744744","QBS20694","2019/01/01"
"5706","MK960556","QCT08764","2019/03/26"
"5207","MH601410","AXB52836","2018/01/07"
"10125","CY260511","AUH29087","2017/10/31"
"10126","MG830254","AUH29087","2017/10/31"
"12397","CY258172","ATZ79372","2017/10/21"
"10252","CY244681","ATD52039","2017/08/21"
"14218","CY244894","ATI22328","2017/08/30"
"14975","CY250595","ATU89828","2017/09/29"
"283","CY245142","ATI22755","2017/08/31"
"7103","CY245238","ATI22971","2017/08/29"
"2972","CY242342","ASW32954","2017/07/23"
"13173","MK381509","AZY87072","2018/01/02"
"5330","MH201514","AVZ00485","2017/10/17"
"6178","MG431379","AUD54857","2017/07/04"
"6176","MG431377","AUD54855","2017/07/03"
"6174","MG431378","AUD54856","2017/07/03"
"6177","MG431376","AUD54854","2017/07/13"
"6180","MG431381","AUD54859","2017/07/27"
"6893","CY244561","ATD51826","2017/07/13"
"3001","CY244039","ATD11095","2017/02/08"
"10515","CY244122","ATD11178","2017/02/06"
"10519","CY244265","ATD11321","2017/03/06"
"12031","MG279222","ATY41152","2017/07/03"
"5779","CY243935","ATD10991","2017/01/21"
"4397","CY228685","ARO43991","2017/03/15"
"4402","CY230666","ARQ86897","2017/03/20"
"2945","CY227574","ARJ35072","2017/03/05"
"2934","CY227214","ARJ34532","2017/02/10"
"6295","MH637533","AXO64849","2017/03/16"
"6298","MH637697","AXO65099","2017/07/18"
"6017","MH637484","AXO64776","2017/04/07"
"10139","MK265443","AZJ60572","2018/10/24"
"14448","MK624619","QBL92200","2018/11/16"
"10908","MK623188","QBL90151","2018/12/16"
"2032","MK474837","QAY27419","2018/11/29"
"14441","MK244819","AZG02674","2018/09/24"
"5344","MK595699","QBK12116","2018/10/27"
"5348","MK592848","QBJ05995","2018/09/07"
"5358","MK592842","QBJ05989","2019/02/06"
"5349","MK592847","QBJ05994","2018/09/28"
"5353","MK592843","QBJ05990","2018/10/17"
"3761","MK363662","AZS64030","2018/09/26"
"3762","MK363643","AZS64030","2018/09/26"
"446","MK363451","AZS63714","2018/10/14"
"12425","MK244883","AZG02770","2018/09/27"
"5350","MK592846","QBJ05993","2018/09/28"
"5356","MK592850","QBJ05997","2018/10/26"
"5458","MK398519","QAB01682","2018/11/19"
"7324","MK474730","QAY27258","2018/11/21"
"6795","MK555058","QBF65687","2018/11/29"
