"","RN","PN","Rdate"
"6337","KX413022","ANM96813","2015/12/19"
"12141","CY255353","ATV89957","2016/10/27"
"1450","CY254937","ATV89335","2016/08/09"
"1519","CY254313","ATV88411","2016/03/14"
"3787","KX413649","ANM97755","2015/12/14"
"12168","CY254369","ATV88495","2016/05/09"
"14610","KX412542","ANM96093","2015/12/15"
"14618","KX413569","ANM97635","2015/12/08"
"14622","KX917972","AOT91402","2016/04/24"
"14392","KX414025","ANM98319","2016/01/12"
"12204","CY254969","ATV89383","2016/08/16"
"12123","CY255113","ATV89599","2016/09/10"
"7229","KX414241","ANM98643","2016/01/20"
"13447","KU558964","AMD42434","2015/08/18"
"13561","KU558973","AMD42443","2015/10/29"
"13031","KT842582","ALH35372","2015/02/18"
"13442","KU558957","AMD42427","2015/06/15"
"4391","KX415264","ANN00179","2016/02/18"
"6009","KY615543","AQW43339","2016/01/15"
"13452","KU558971","AMD42441","2015/10/13"
"1457","CY252847","ATV86212","2015/06/10"
"1464","CY253098","ATV86589","2015/06/29"
"1478","CY254178","ATV88209","2015/10/24"
"11003","CY253410","ATV87057","2015/08/06"
"12579","CY253170","ATV86697","2015/06/17"
"13440","KU558954","AMD42424","2015/05/27"
"12918","KX916396","AOT89039","2016/08/28"
"12921","KY044202","AOZ85031","2016/09/05"
"12920","KY003548","AOZ81870","2016/08/31"
"12922","KY003566","AOZ81898","2016/09/06"
"5238","KY116510","APC59465","2016/10/07"
"4532","KX916356","AOT88979","2016/08/03"
"4377","CY214210","APY26324","2016/12/07"
"1818","CY212498","APW80585","2016/12/09"
"1761","KY289583","APH10951","2016/10/02"
"6358","CY210171","APT37273","2016/10/25"
"5237","KY115870","APC58506","2016/09/14"
"12407","CY216257","AQS20416","2016/12/11"
"3852","KY697318","ARC52968","2016/09/06"
"7336","CY213850","APY25663","2016/10/25"
"10935","KY003413","AOZ81664","2016/09/14"
"507","KY116486","APC59429","2016/09/27"
"7332","KY116342","APC59214","2016/10/02"
"4569","CY209168","APO18706","2016/10/21"
"14752","CY210393","APT38023","2016/10/31"
"15059","KX916924","AOT89831","2016/08/08"
"2999","CY234883","ASB34042","2016/09/09"
"6746","CY214474","AQI09172","2016/12/12"
"7799","KY115918","APC58578","2016/09/19"
"7681","CY211810","APT44028","2016/11/22"
"13975","CY210815","APT38980","2016/11/19"
"5558","CY208752","APM88028","2016/09/09"
"7678","KY289473","APH10785","2016/10/20"
"3851","KY697310","ARC52956","2016/09/06"
"12919","KY003578","AOZ81915","2016/08/31"
"10039","KY003379","AOZ81613","2016/09/08"
"7038","CY210237","APT37425","2016/10/23"
"14577","CY234897","ASB34056","2016/09/18"
"8004","KY115966","APC58650","2016/07/29"
"201","KX916780","AOT89615","2016/06/15"
"12148","CY255385","ATV90005","2016/11/11"
"10888","KX416080","ANN01403","2016/03/18"
"1696","KX918028","AOT91486","2016/04/20"
"4496","KX918292","AOT91882","2016/04/01"
"194","KX916788","AOT89627","2016/06/06"
"8072","KX416136","ANN01487","2016/03/18"
"8089","KX416624","ANN02217","2016/03/30"
"14633","KX916756","AOT89579","2016/05/13"
"10920","KX917700","AOT90994","2016/03/31"
"12162","CY254297","ATV88387","2016/03/22"
"7330","KX917852","AOT91222","2016/04/11"
"14565","KY044463","AOZ85411","2016/03/31"
"6348","KX416920","ANN02661","2016/03/18"
"4509","KX916492","AOT89183","2016/06/07"
"469","CY208337","APG55938","2016/02/25"
"12231","KX917140","AOT90155","2016/02/22"
"5490","KX416344","ANN01799","2016/02/23"
"5397","KX414113","ANM98451","2016/01/17"
"483","CY209847","APQ44650","2016/03/22"
"10266","CY208259","APF46431","2016/01/28"
"4003","KX916268","AOT88847","2016/03/20"
"410","KX414497","ANM99027","2016/01/20"
"466","CY208286","APF46458","2016/02/12"
"14572","CY209795","APQ44598","2016/02/24"
"474","CY208346","APG55947","2016/03/07"
"461","CY208231","APF46403","2016/02/12"
"475","CY208420","APG56021","2016/02/29"
"4470","KX916740","AOT89555","2016/03/20"
"470","CY208339","APG55940","2016/02/29"
"13820","KX416848","ANN02553","2016/04/07"
"13827","KX917796","AOT91138","2016/04/23"
"384","KX414185","ANM98559","2016/01/13"
"3557","KX415448","ANN00455","2016/02/26"
"15134","KX416072","ANN01391","2016/03/14"
"7618","KX414297","ANM98727","2016/01/12"
"8306","KX414753","ANM99411","2016/01/28"
"3645","KX416864","ANN02577","2016/04/05"
"3516","KX414936","ANM99686","2016/02/11"
"13794","KX415352","ANN00311","2016/03/01"
"5792","MH779032","AXP19293","2018/01/15"
"10241","KY003550","AOZ81872","2016/08/14"
"3499","KX414649","ANM99255","2016/01/22"
"419","KX414529","ANM99075","2016/01/20"
"3582","KX416024","ANN01319","2016/03/07"
"3589","KX416032","ANN01331","2016/03/13"
"9519","CY259831","AUC67530","2016/03/08"
"19","KX412838","ANM96537","2016/01/20"
"7","KX412662","ANM96273","2016/01/27"
"2016","KX415952","ANN01211","2016/02/25"
"14933","KX414545","ANM99099","2016/01/31"
"1832","KX414321","ANM98763","2016/01/26"
"14464","KX414577","ANM99147","2016/01/19"
"5076","KX416000","ANN01283","2016/03/07"
"1970","KX415208","ANN00095","2016/01/12"
"10711","KX415104","ANM99938","2016/02/16"
"12926","KY044330","AOZ85215","2016/01/26"
"12337","KY044126","AOZ84920","2016/01/03"
"6916","KX416560","ANN02121","2016/03/28"
"1750","KX413889","ANM98103","2015/12/29"
"1749","KX413881","ANM98103","2015/12/29"
"1850","KX414345","ANM98799","2016/01/16"
"14468","KX415048","ANM99854","2016/02/18"
"1587","KY583590","AQS35088","2016/12/20"
"9511","CY258959","AUC64524","2016/10/21"
"9982","KX412718","ANM96357","2015/12/30"
"10894","KX416088","ANN01415","2016/03/10"
"4445","KX416816","ANN02505","2016/03/05"
"10240","KX916084","AOT88571","2015/12/02"
"5460","KX917308","ANN01883","2016/03/21"
"5459","KX416400","ANN01883","2016/03/21"
"2988","CY210314","APT37764","2016/10/30"
"8299","KX414745","ANM99399","2016/01/27"
"429","KX413094","ANM96921","2016/01/08"
"2133","KY078605","AKQ09862","2016/01/02"
"7970","KX416008","ANN01295","2016/03/10"
"1753","KX413985","ANM98259","2015/12/30"
"2182","KY078620","AKQ09862","2016/02/09"
"1931","CY209768","APQ44571","2016/03/01"
"2115","KY078600","AKQ09862","2016/03/23"
"2192","KY078624","AKQ09862","2016/02/29"
"2181","KY078619","AKQ09862","2015/12/23"
"10727","KX416240","ANN01643","2016/03/15"
"10705","KX414681","ANM99303","2016/02/02"
"13772","KX414449","ANM98955","2016/01/30"
"4409","KX415776","ANN00947","2016/02/23"
"4363","KX414217","ANM98607","2016/01/12"
"4401","KX415768","ANN00935","2016/02/26"
"5066","KX415344","ANN00299","2016/02/20"
"1710","KX413721","ANM97863","2015/12/28"
"1924","CY208165","APF45843","2016/01/25"
"4442","KX416808","ANN02493","2016/03/02"
"1971","KX415216","ANN00107","2016/01/15"
"1923","KX415136","ANM99986","2016/02/01"
"1974","KX415224","ANN00119","2016/01/21"
"1756","KX413054","ANM96861","2015/12/29"
"2113","KY078597","AKQ09862","2015/12/29"
"5184","KX416672","ANN02289","2016/01/30"
"110","KY044323","AOZ85205","2016/01/20"
"2114","KY078598","AKQ09862","2015/12/29"
"2112","KY078596","AKQ09862","2015/12/29"
"2111","KY078595","AKQ09862","2015/12/21"
"5179","KX416664","ANN02277","2016/02/01"
"5176","KX416656","ANN02265","2016/02/10"
"13807","KX416352","ANN01811","2016/03/24"
"12421","KX003487","ANE25701","2015/11/14"
"5046","KX414473","ANM98991","2016/01/26"
"10763","KU591543","AMB70245","2015/10/23"
"5770","CY208355","APG55956","2016/02/24"
"5598","KX413323","ANM97266","2015/11/01"
"5599","KU589661","ANM97266","2015/11/01"
"7284","KT844383","ALH38079","2015/05/18"
"3726","KX412012","AMB70569","2015/10/20"
"3725","KU591759","AMB70569","2015/10/20"
"3731","KU591767","AMB70581","2015/10/24"
"10116","KX415056","ANM99866","2016/02/18"
"7279","KX415576","ANN00647","2016/02/28"
"1700","KX413513","ANM97551","2015/11/28"
"12558","CY254138","ATV88149","2015/09/05"
"6324","KU591630","AMB70376","2015/11/02"
"6325","KX412421","AMB70376","2015/11/02"
"1698","KX413505","ANM97539","2015/11/18"
"10120","KX415672","ANN00791","2016/03/06"
"11221","KY925215","ARI69412","2015/07/30"
"13612","MH410508","AWN85684","2015/03/18"
"2793","KT839143","ALH30223","2014/11/29"
"1915","CY193865","ALE31999","2015/01/24"
"2695","KT841880","ALH34320","2015/01/07"
"8294","KY090044","APB90604","2015/01/10"
"2740","KT838163","ALH28753","2014/10/18"
"15176","CY193474","ALA08687","2014/12/19"
"8343","KY089383","APB89618","2015/03/02"
"13846","CY193826","ALE31960","2015/01/16"
"561","KT840114","ALH31682","2014/12/08"
"542","KY089536","APB89840","2015/01/11"
"11390","KT841587","ALH33886","2015/01/06"
"15051","KY089331","APB89540","2014/12/17"
"8560","KT836135","ALH25792","2015/01/22"
"8592","KT842117","ALH34678","2015/02/05"
"12228","KT842559","ALH35340","2015/02/05"
"9962","KT843963","ALH37447","2015/06/30"
"400","KX411943","ANM95197","2015/09/28"
"5430","KU591415","AMB70045","2015/09/01"
"5434","KU590465","AMB68622","2015/09/01"
"5437","KU590473","AMB68634","2015/09/01"
"5419","KU589809","AMB68586","2015/08/31"
"5428","KU589817","AMB67655","2015/09/01"
"5422","KU590031","AMB67969","2015/09/01"
"5418","KU590441","AMB68586","2015/08/31"
"11732","MF993040","ATL14608","2015/11/02"
"5512","KT842363","ALH35052","2015/02/03"
"3660","KT843857","ALH37287","2015/08/09"
"12399","KY089954","APB90474","2015/02/08"
"9155","KY090424","APB91161","2015/07/19"
"3744","KU591614","AMB70352","2015/10/26"
"275","KU589675","AMB67442","2015/06/16"
"15011","KY089699","APB90087","2014/10/13"
"10643","KP701630","AJM70992","2014/12/10"
"7551","KU591314","AMB68557","2015/10/04"
"7550","KU590422","AMB68557","2015/10/04"
"197","KX412292","ANM95718","2015/09/10"
"184","KX003974","ANE26432","2015/09/07"
"142","KX003803","ANE26175","2015/07/15"
"150","KX003875","ANE26283","2015/07/26"
"182","KX003958","ANE26408","2015/09/07"
"2018","KU591047","AMB69493","2015/09/24"
"8125","KU589859","AMB67717","2015/09/09"
"151","KT844135","ALH37705","2015/08/02"
"149","KX003851","ANE26247","2015/07/23"
"145","KX003827","ANE26211","2015/07/17"
"11230","KY925818","ARI69688","2015/05/18"
"12262","CY194029","ALN39705","2015/02/05"
"5982","CY193906","ALE32040","2015/01/28"
"9032","CY193801","ALE31935","2015/01/15"
"7202","KT841133","ALH33203","2015/01/07"
"6080","KT840476","ALH32219","2014/12/22"
"8040","KY089554","APB89870","2015/01/08"
"5045","KT836043","ALH25656","2015/01/28"
"10217","KT841005","ALH33013","2014/12/27"
"9662","CY207491","AOV82695","2015/01/15"
"14744","KT836091","ALH25725","2015/01/22"
"457","CY194058","ALN39734","2015/03/16"
"9762","CY240587","ASU48091","2014/10/13"
"9744","CY240563","ASU48055","2014/10/03"
"14446","KT838136","ALH28710","2014/10/22"
"9777","CY240715","ASU48283","2014/10/08"
"5844","KT220433","AKQ43534","2015/01/15"
"5753","CY193898","ALE32032","2015/01/23"
"5752","CY193897","ALE32031","2015/01/21"
"5745","CY193777","ALE31911","2015/01/14"
"10650","KP701641","AJM71003","2014/12/23"
"9635","CY207299","AOV82407","2014/11/04"
"9807","CY240571","ASU48067","2014/10/09"
"12172","CY254345","ATV88459","2016/06/10"
"14046","CY253898","ATV87789","2015/09/15"
"14045","CY253826","ATV87681","2015/09/17"
"12157","CY254066","ATV88041","2015/09/17"
"3127","CY253986","ATV87921","2015/10/08"
"12200","CY252903","ATV86296","2015/06/25"
"12121","CY254058","ATV88029","2015/09/15"
"14038","CY253730","ATV87537","2015/08/24"
"14008","CY253362","ATV86985","2015/07/08"
"14087","CY252978","ATV86409","2015/06/27"
"1476","CY254090","ATV88077","2015/09/23"
"12158","CY254042","ATV88005","2015/09/18"
"12115","CY253250","ATV86817","2015/08/02"
"12155","CY254026","ATV87981","2015/10/24"
"14139","CY252743","ATV86056","2015/06/17"
"12116","CY253466","ATV87141","2015/08/17"
"12118","CY253522","ATV87225","2015/08/24"
"12117","CY253498","ATV87189","2015/08/25"
"12111","CY252930","ATV86337","2015/07/02"
"12140","CY253882","ATV87765","2015/09/24"
"12529","CY253514","ATV87213","2015/08/20"
"12142","CY253914","ATV87813","2015/09/03"
"14057","CY253554","ATV87273","2015/08/10"
"14144","CY253154","ATV86673","2015/08/03"
"14103","CY253946","ATV87861","2015/08/24"
"12556","CY254098","ATV88089","2015/09/11"
"14058","CY252871","ATV86248","2015/04/29"
"14131","CY252823","ATV86176","2015/05/15"
"14051","CY252815","ATV86164","2015/04/24"
"10783","KY075834","APG56474","2015/02/10"
"9640","CY207339","AOV82467","2014/12/08"
"9653","CY207867","AOV83259","2014/12/12"
"9767","CY240483","ASU47935","2014/09/06"
"9754","CY240579","ASU48079","2014/10/12"
"9659","CY207427","AOV82599","2015/01/04"
"13945","KY089178","APB89315","2014/12/15"
"9766","CY240515","ASU47983","2014/11/10"
"5288","KT205937","AKQ09939","2014/12/22"
"5078","KT843014","ALH36023","2015/03/14"
"14510","KT839427","ALH30649","2014/12/08"
"14546","CY193842","ALE31976","2015/01/17"
"7816","CY193692","ALE31826","2014/12/31"
"7296","KT839593","ALH30896","2014/12/07"
"9758","CY240547","ASU48031","2014/10/27"
"4362","KT842158","ALH34737","2015/02/05"
"4441","KY089989","APB90522","2015/04/08"
"1614","KU729329","AMN88025","2015/01/29"
"6844","KT835946","ALH25512","2015/01/20"
"13054","KT837669","ALH28012","2014/10/30"
"7513","KT839403","ALH30613","2014/12/01"
"9639","CY207331","AOV82455","2014/12/02"
"8210","KT839351","ALH30539","2014/11/20"
"12515","CY252791","ATV86128","2015/06/18"
"7305","KT838474","ALH29221","2014/11/23"
"14551","CY193976","ALE32110","2014/12/28"
"1591","KU729325","AMN88021","2015/01/12"
"14555","CY193981","ALE32115","2014/12/15"
"14382","KT841242","ALH33367","2015/01/02"
"14531","KT840213","ALH31832","2014/12/08"
"1991","KT842186","ALH34783","2015/02/20"
"14545","CY193839","ALE31973","2015/01/17"
"14391","KT842133","ALH34703","2015/02/06"
"7923","KT841897","ALH34342","2015/01/08"
"7616","KY089848","APB90312","2014/10/05"
"6046","KT842149","ALH34726","2015/02/17"
"2109","KT205853","AKQ09862","2015/02/03"
"4466","KT837201","ALH27310","2014/09/07"
"6379","CY193541","ALE31675","2014/12/18"
"5183","KT840109","ALH31676","2014/12/03"
"5229","CY193395","ALA08608","2014/12/08"
"9891","KY089292","APB89483","2015/01/06"
"10027","CY193808","ALE31942","2015/01/12"
"10010","CY193419","ALA08632","2014/12/03"
"7420","CY193920","ALE32054","2014/12/16"
"5233","CY193526","ALE31660","2014/12/18"
"10490","CY193817","ALE31951","2015/01/29"
"741","KP877361","AJY79391","2015/02/23"
"256","CY193281","ALA08494","2014/11/03"
"14258","KY116991","APC60153","2014/12/29"
"81","CY193479","ALE31613","2014/12/16"
"5235","CY193528","ALE31662","2014/12/24"
"10473","CY193572","ALE31706","2014/12/05"
"288","KY090362","APB91073","2014/11/18"
"6906","KT839714","ALH31080","2014/12/02"
"10142","CY193945","ALE32079","2015/01/21"
"7811","CY193686","ALE31820","2014/12/15"
"5933","KT837566","ALH27863","2014/10/27"
"5937","KT842513","ALH35270","2015/02/19"
"7487","KT841905","ALH34356","2015/01/04"
"10001","CY193336","ALA08549","2014/12/02"
"263","KY090278","APB90952","2014/10/03"
"280","KY089131","APB89248","2014/10/30"
"257","CY193282","ALA08495","2014/11/04"
"7006","KT841198","ALH33305","2015/01/05"
"3905","KT838664","ALH29507","2014/11/14"
"7823","CY193922","ALE32056","2015/01/22"
"7813","CY193688","ALE31822","2014/12/17"
"7806","CY193409","ALA08622","2014/12/08"
"7822","CY193921","ALE32055","2015/01/22"
"14523","CY193475","ALA08688","2014/12/02"
"7820","CY193792","ALE31926","2015/01/14"
"13025","KT837526","ALH28129","2014/10/01"
"13260","KY090363","APB91074","2014/12/11"
"8365","KT837148","ALH27235","2014/09/18"
"5742","CY193773","ALE31907","2015/01/13"
"8512","KT841523","ALH33790","2015/01/05"
"6199","KY328782","APO40397","2015/01/01"
"7058","KY116918","AMB72083","2014/09/24"
"7057","KU592823","AMB72083","2014/09/24"
"14883","KT842465","ALH35201","2015/02/13"
"3977","CY193387","ALA08600","2014/12/16"
"3984","CY193518","ALE31652","2014/12/19"
"3985","CY193519","ALE31653","2014/12/19"
"10897","KT837299","ALH27461","2014/09/24"
"14521","CY193471","ALA08684","2014/12/17"
"14534","CY193747","ALE31881","2014/12/28"
"14497","KT839040","ALH30070","2014/11/21"
"10492","CY193949","ALE32083","2014/12/15"
"13837","CY193604","ALE31738","2014/12/22"
"12818","KT841327","ALH33493","2015/01/06"
"7054","KT836988","ALH26996","2014/09/18"
"5763","CY194013","ALN39689","2015/01/22"
"5766","CY194016","ALN39692","2015/02/13"
"5759","CY194002","ALN39678","2015/02/01"
"5756","CY193902","ALE32036","2015/01/31"
"5767","CY194063","ALN39739","2015/03/06"
"5754","CY193900","ALE32034","2015/01/29"
"4366","KT842834","ALH35750","2015/03/05"
"5733","CY193531","ALE31665","2015/01/03"
"5760","CY194003","ALN39679","2015/01/28"
"5842","KT220429","AKQ43534","2015/02/02"
"5856","KT374339","AKQ43534","2015/01/12"
"5855","KT277832","AKQ43534","2015/01/08"
"5761","CY194010","ALN39686","2015/02/08"
"5740","CY193771","ALE31905","2015/01/13"
"5762","CY194012","ALN39688","2015/01/23"
"5747","CY193779","ALE31913","2015/01/18"
"5734","CY193674","ALE31808","2014/12/13"
"13428","KU558936","AMD42406","2015/01/03"
"5730","CY193396","ALA08609","2014/11/25"
"14081","CY252519","ATV85720","2015/04/24"
"5758","CY194001","ALN39677","2015/02/03"
"7291","KT839159","ALH30247","2014/11/12"
"5501","KM852966","AIU46394","2014/04/14"
"5500","KM852887","AIU46394","2014/04/14"
"3868","KT841101","ALH33156","2015/01/06"
"14217","KT839933","ALH31415","2014/12/09"
"14544","CY193837","ALE31971","2015/01/15"
"14150","CY252247","ATV85312","2015/02/07"
"5178","KT840177","ALH31779","2014/12/02"
"8011","CY193927","ALE32061","2015/01/27"
"10007","CY193346","ALA08559","2014/12/02"
"10493","CY193950","ALE32084","2014/12/23"
"9059","CY193943","ALE32077","2015/01/28"
"5232","CY193525","ALE31659","2014/12/12"
"7507","KT836319","ALH26073","2015/01/24"
"7481","KT841878","ALH34317","2015/01/03"
"7511","KT835995","ALH25583","2015/01/31"
"1894","CY193365","ALA08578","2014/12/01"
"3614","CY193656","ALE31790","2014/12/12"
"10487","CY193720","ALE31854","2015/01/07"
"689","KY487159","AQN74358","2015/01/09"
"7528","KT840725","ALH32598","2014/12/17"
"7039","KT837031","ALH27060","2014/09/13"
"688","KY615549","AQW43349","2014/12/29"
"15058","KY089522","APB89823","2014/12/26"
"1094","KY487578","AQN74952","2015/01/18"
"11428","CY193821","ALE31955","2015/01/21"
"9650","CY207611","AOV82875","2014/12/14"
"684","KY487460","AQN74784","2014/12/29"
"6740","KT837999","ALH28509","2014/10/14"
"8233","CY193798","ALE31932","2015/01/13"
"3321","CY193995","ALN39671","2015/02/11"
"14461","KY089742","APB90154","2015/03/01"
"14552","CY193977","ALE32111","2015/01/07"
"12258","CY193722","ALE31856","2015/01/08"
"4462","KT843434","ALH36661","2015/04/14"
"5563","KY089142","APB89265","2014/11/12"
"14936","KT842672","ALH35505","2015/02/26"
"3966","CY193307","ALA08520","2014/11/20"
"24","KT841992","ALH34492","2015/02/11"
"4001","CY193768","ALE31902","2015/01/16"
"14912","KT842225","ALH34839","2015/02/10"
"5526","KT842985","ALH35984","2015/03/12"
"3454","KT841800","ALH34201","2015/01/02"
"6","KT836052","ALH25669","2015/01/26"
"745","KP877367","AJY79397","2015/02/24"
"1631","KP701729","AJM71091","2014/12/22"
"5950","KT840257","ALH31892","2014/12/08"
"5923","KT843126","ALH36188","2015/03/03"
"3617","KT843483","ALH36731","2015/04/18"
"3970","CY193311","ALA08524","2014/11/24"
"3981","CY193391","ALA08604","2014/11/21"
"5037","KY089424","APB89680","2015/01/18"
"14542","CY193833","ALE31967","2015/01/12"
"10766","CY194071","ALN39747","2015/03/09"
"7015","KT841709","ALH34063","2015/01/08"
"3541","KT842892","ALH35840","2015/03/05"
"3964","CY193298","ALA08511","2014/11/18"
"3992","CY193660","ALE31794","2014/12/15"
"127","KT843470","ALH36714","2015/04/18"
"131","KT843433","ALH36660","2015/04/12"
"8057","KT836358","ALH26130","2015/01/28"
"3983","CY193517","ALE31651","2014/12/19"
"14525","CY193617","ALE31751","2014/12/18"
"3967","CY193308","ALA08521","2014/11/20"
"9894","KT835899","ALH25443","2015/01/28"
"3980","CY193390","ALA08603","2014/11/14"
"3990","CY193658","ALE31792","2014/12/11"
"13034","KT836949","ALH26936","2014/09/22"
"7012","KT841612","ALH33923","2015/01/06"
"8974","CY193414","ALA08627","2014/12/04"
"3976","CY193385","ALA08598","2014/12/09"
"14939","KT842831","ALH35746","2015/03/09"
"15044","KT839437","ALH30663","2014/12/09"
"15041","KT839551","ALH30830","2014/12/08"
"15032","KT839526","ALH30792","2014/12/02"
"15045","KT839501","ALH30757","2014/12/09"
"14889","KT842230","ALH34845","2015/02/06"
"14924","KT836090","ALH25724","2015/01/22"
"11733","MF993041","ATL14609","2015/11/09"
"9015","CY193702","ALE31836","2015/01/04"
"3965","CY193305","ALA08518","2014/11/20"
"3991","CY193659","ALE31793","2014/12/15"
"1888","KT839702","ALH31059","2014/12/10"
"7272","KT843387","ALH36587","2015/04/02"
"14498","KT843013","ALH36022","2015/03/12"
"268","CY193863","ALE31997","2015/01/21"
"8121","KT839922","ALH31398","2014/12/01"
"31","KT842000","ALH34504","2015/02/14"
"10498","CY194027","ALN39703","2015/02/02"
"10890","KT837037","ALH27068","2014/09/13"
"6934","CY193544","ALE31678","2015/01/02"
"14917","KT842209","ALH34817","2015/02/03"
"10715","KT837376","ALH27579","2014/10/09"
"4408","KY089438","APB89700","2015/01/16"
"8234","CY193930","ALE32064","2015/01/20"
"5493","KT841134","ALH33204","2015/01/06"
"3237","CY193655","ALE31789","2014/12/24"
"10220","KT839070","ALH30109","2014/11/09"
"5057","KT840649","ALH32486","2014/12/18"
"5062","KT841061","ALH33098","2014/12/18"
"3879","KT841455","ALH33686","2015/01/02"
"7675","CY194023","ALN39699","2015/02/10"
"6051","KY089835","APB90295","2014/11/12"
"13907","KY090433","APB91174","2015/01/21"
"10094","KT838288","ALH28940","2014/10/01"
"2728","KT837770","ALH28164","2014/10/04"
"4498","CY193997","ALN39673","2015/01/26"
"14862","KT841754","ALH34134","2015/01/02"
"8603","KT842686","ALH35526","2015/02/05"
"1628","KP701726","AJM71088","2014/12/22"
"1560","KP701735","AJM71097","2015/01/05"
"1598","KU729320","AMN88016","2015/01/12"
"1583","KU729318","AMN88014","2015/01/08"
"1622","KP701717","AJM71079","2014/12/09"
"14540","CY193829","ALE31963","2015/01/07"
"1601","KU729313","AMN88009","2015/01/13"
"1609","KU729317","AMN88013","2015/01/26"
"8617","KT842789","ALH35687","2015/02/09"
"14731","KT835832","ALH25335","2015/01/28"
"8013","CY194024","ALN39700","2015/02/02"
"1604","KU729327","AMN88023","2015/01/13"
"3969","CY193310","ALA08523","2014/11/24"
"13422","KP335977","AJE62949","2014/11/01"
"13432","KU558941","AMD42411","2015/02/09"
"7963","KT842246","ALH34870","2015/02/18"
"3133","KT841860","ALH34293","2015/01/02"
"3963","CY193296","ALA08509","2014/11/18"
"10721","KT837449","ALH27681","2014/10/15"
"6902","KT839499","ALH30754","2014/12/02"
"15055","KT840636","ALH32467","2014/12/17"
"7809","CY193552","ALE31686","2014/12/24"
"3998","KT840330","ALH32002","2014/12/15"
"5234","CY193527","ALE31661","2014/12/19"
"1611","KU729322","AMN88018","2015/01/26"
"7975","KY089760","APB90183","2015/03/10"
"1615","KU729323","AMN88019","2015/02/10"
"10653","KP701645","AJM71007","2014/12/29"
"1597","KU729324","AMN88020","2015/01/12"
"9753","CY240380","ASU47781","2014/10/11"
"9793","CY240643","ASU48175","2014/10/26"
"9681","CY207779","AOV83127","2015/03/04"
"14727","KT841834","ALH34253","2015/01/02"
"9034","CY193804","ALE31938","2015/01/20"
"11406","KY089807","APB90254","2015/03/10"
"11416","KT840438","ALH32163","2014/12/19"
"9904","KT841218","ALH33334","2015/01/08"
"3469","KT841654","ALH33983","2015/01/06"
"3656","KT838939","ALH29916","2014/11/08"
"4492","CY193889","ALE32023","2015/01/26"
"4490","CY193887","ALE32021","2015/01/26"
"6108","CY193538","ALE31672","2014/12/29"
"5286","KT205932","AKQ09939","2014/12/01"
"10967","CY252647","ATV85912","2015/02/20"
"1444","CY252767","ATV86092","2015/06/05"
"12550","CY251671","ATV84448","2014/01/26"
"10198","KY090436","APB91179","2014/10/16"
"12576","CY252359","ATV85480","2014/11/20"
"3850","KP153351","AIZ07502","2014/11/02"
"14149","CY252879","ATV86260","2015/05/21"
"7228","KM852973","AIU46502","2014/04/18"
"14188","KM063999","AIE09552","2014/04/03"
"14178","KM064041","AIE09608","2014/04/03"
"3149","KM064481","AIE10194","2014/03/27"
"3116","KR534281","AKI82576","2014/12/18"
"10786","KY075838","APG56478","2015/02/28"
"5509","KM853006","AIU46547","2014/05/08"
"7757","KM064470","AIE10181","2014/03/11"
"7760","KM064476","AIE10189","2014/03/13"
"7753","KM064484","AIE10198","2014/04/03"
"7747","KM064222","AIE09847","2014/02/13"
"8511","KM852974","AIU46503","2014/04/28"
"5505","KM852939","AIU46463","2014/05/05"
"3285","KT837342","ALH27528","2014/10/30"
"11383","KM064519","AIE10247","2014/02/10"
"1607","KP864421","AJY54135","2014/01/15"
"13020","KM852880","AIU46384","2014/06/13"
"3849","KP153349","AIZ07500","2014/11/02"
"6850","KM064270","AIE09910","2014/02/18"
"10868","KM064372","AIE10040","2014/02/26"
"6862","KM063985","AIE09533","2014/04/02"
"14419","KM853010","AIU46551","2014/05/07"
"14414","KM852959","AIU46485","2014/05/02"
"1689","KM064338","AIE10000","2014/03/26"
"3573","KR057574","AKC43686","2014/08/06"
"7209","KM064115","AIE09708","2014/03/10"
"6666","KM064100","AIE09687","2014/01/12"
"6672","KM064158","AIE09765","2014/01/20"
"6678","KM064292","AIE09939","2014/02/08"
"6717","KR057515","AKC43599","2014/05/02"
"2706","KM064502","AIE10222","2014/03/16"
"3219","CY187647","AIC73751","2014/03/25"
"10893","KT836957","ALH26947","2014/09/10"
"5511","KM852976","AIU46505","2014/05/23"
"10452","CY234530","ASB16332","2017/03/30"
"10453","CY234538","ASB16332","2017/03/30"
"5091","CY230842","ARQ87480","2017/03/31"
"4410","CY235568","ASK81750","2017/03/27"
"4439","CY239952","ASU07471","2017/06/08"
"4339","CY230946","ARQ86001","2017/01/09"
"14216","CY234858","ASB16823","2017/04/19"
"4448","CY242246","ASW32733","2017/07/05"
"4479","MH305566","AWI42171","2017/08/13"
"1006","MN299906","QED13044","2017/02/17"
"13487","MF673271","ASW34268","2017/01/14"
"52","CY230674","ARQ86975","2017/03/30"
"7391","CY244767","ATD52267","2017/08/25"
"7388","CY244761","ATD52258","2017/08/23"
"2967","CY240047","ASU07657","2017/06/13"
"12856","CY234738","ASB16643","2017/04/26"
"8321","CY223213","ARB17773","2017/02/22"
"7435","CY244393","ATD11449","2017/02/25"
"2116","MF182461","AKQ09862","2017/03/23"
"7432","CY244167","ATD11223","2017/02/08"
"12965","CY238875","ASM91101","2017/05/30"
"5786","CY244224","ATD11280","2017/02/27"
"4019","CY244041","ATD11097","2017/02/01"
"13495","MF673282","ASW34279","2017/04/12"
