"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"11",14141,10,10,1.51789327688082,0.822192191643779,0.0195723800601289,6.2,3.95,4.86530778741123,0.3125,0.75,0.6,0.777777777777778,4,2,0.777777777777778,0.495811287477954,2,10.5894254055924,1.38845505118017,1.91301035405687,0.653342810607789,1.83709028844714,0.0745201534246575,0.38904,8,672,107,0.0222222222222222,0.461481639167573
"12",14150,8,8,1.45840773619725,0.751300955010707,0.017876846366244,4.33333333333333,3.28333333333333,3.96533830460258,0.5,0.666666666666667,0.375,0.857142857142857,4,2,0.714285714285714,0.525170068027211,2,8.04478631725111,1.77678092285966,1.70033380707088,NA,NA,0.0689212328767123,0.413698630136986,7,358,63,0.032258064516129,0.486131929592454
"13",14165,15,14,1.35539629827015,0.668153104781061,0.003138236586774,8.93939393939394,5.67619047619048,7.35402945977649,0.291666666666667,0.666666666666667,0.428571428571429,0.615384615384615,6,2,0.769230769230769,0.492455621301775,3,11.1658021416115,1.3903405163751,0.991567704272137,1.48910144602338,4.05893907390603,0.0288928375733855,0.172602739726027,12,1810,201,0.0111111111111111,0.401615591002736
"14",14271,8,8,1.37001938854894,0.57452425971407,0.00414073441846501,4,3.58333333333333,4.05666515917422,0.333333333333333,0.666666666666667,0.75,0.714285714285714,4,2,0.571428571428571,0.615646258503401,2,7.57717593722465,1.2268302695923,0.763141944905827,1.73541516839186,4.09556290712553,0.0311646061643836,0.191781917808219,6,354,65,0.0333333333333333,0.491308110232219
"15",14340,9,9,1.37037037037037,0.62962962962963,0.00305206313463022,4,4.28333333333333,4.73307987247548,0,0.428571428571429,0.333333333333333,0.75,4,2,0.625,0.603125,3,7.11691944388611,0.679101164609755,0.490030400031917,2.04124145231932,5.16666666666667,0.0281413833925249,0.13972602739726,7,498,79,0.0256410256410256,0.455725172171398
"16",14383,20,9,1.55555555555556,0.888888888888889,0.00802298972227435,5.33333333333333,3.45,4.72066367244866,0.571428571428571,0.714285714285714,0.333333333333333,0.875,4,2,0.75,0.47514880952381,2,7.18513890174915,1.83802974668943,1.35843870388595,0.954209995927463,1.91863431874844,0.0470151192288179,0.309589041095891,8,508,79,0.025,0.460413067980307
"17",14385,17,17,1.61214856641798,0.984409301618057,0.0200242410027817,8.91282051282051,7.42896825396825,8.51882844128145,0.2,0.466666666666667,0.176470588235294,0.6875,8,4,0.625,0.530188301282051,5,16.4068672892312,0.976715693340996,4.00691712315341,3.47439614486152,13.0714285714286,0.0772810920984026,0.504106849315069,12,2834,325,0.00909090909090909,0.407229241827973
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",14891,9,9,1.18518518518519,0.37037037037037,0.0109514006380372,5.14285714285714,3.91666666666667,4.61277073489604,0.357142857142857,0.714285714285714,0.666666666666667,0.625,4,2,0.75,0.589583333333333,2,8.08637412727879,0.634443271257871,-0.378377903822113,0.569582676416348,1.7414244616456,0.0495856587180788,0.345205479452055,9,560,71,0.0212765957446809,0.405134045238334
"20",15234,107,13,1.92011606385656,1.40808511349481,0.047965799134874,11,3.01987734487735,6.73803384473753,1,1,0.230769230769231,1,2,1,0.916666666666667,0.25860088985089,1,10.060790432194,2.49468166971987,4.86933609575628,NA,NA,0.0684120937018724,0.821917808219178,13,1588,155,0.0111111111111111,0.351846793223388
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",15399,9,9,1.62962962962963,1.03703703703704,0.0125009903880236,7,2.59285714285714,4.64822970648529,1,1,0.333333333333333,1,2,1,0.875,0.339732142857143,1,7.80195670382437,2.39084532656513,3.09525531159401,NA,NA,0.0594622019279554,0.326027397260274,9,536,71,0.0227272727272727,0.416925605630739
