"","root_node_id","min_hamming_distance","max_hamming_distance","median_hamming_distance","min_gc_content","max_gc_content","mean_gc_content"
"16549",16549,1,19,7,0.420249653259362,0.424410540915395,0.422659245538587
"16564",16564,1,23,16,0.422037422037422,0.424742268041237,0.423065256678641
"16590",16590,1,39,9.5,0.421636615811373,0.426950354609929,0.424145231125304
"16594",16594,1,50,19,0.424895688456189,0.431205673758865,0.427809260447038
"16624",16624,2,37,21,0.42371705963939,0.426116838487972,0.424747034235574
"16651",16651,1,5,3,0.421344421344421,0.423023578363384,0.422232618834561
"16672",16672,NA,NA,NA,NA,NA,NA
"16695",16695,1,4,2,0.426786953504511,0.427480916030534,0.426925746009715
"16703",16703,1,5,2,0.426241134751773,0.429078014184397,0.427768685215494
"16746",16746,1,1,1,0.42470506592644,0.425,0.42485253296322
"16778",16778,1,7,6,0.425399028452464,0.426092990978487,0.425861670136479
"16779",16779,1,47,6,0.423023578363384,0.429078014184397,0.425130786777822
"16803",16803,3,11,6.5,0.423023578363384,0.425399028452464,0.424032374651214
"16864",16864,1,48,11,0.425104022191401,0.429787234042553,0.426767502782342
"16865",16865,1,48,8,0.425399028452464,0.429787234042553,0.426907291718855
"16954",16954,1,56,4,0.425399028452464,0.429787234042553,0.426950592929746
"17053",17053,2,33,9,0.426092990978487,0.428571428571429,0.427148022117804
"17055",17055,1,47,17,0.426786953504511,0.431205673758865,0.428346200682018
"17093",17093,1,6,4,0.424011103400416,0.426786953504511,0.425676613462873
"17117",17117,2,6,4.5,0.426092990978487,0.428868841082582,0.427144137267905
"17159",17159,2,38,15,0.426786953504511,0.429577464788732,0.428061184715386
"17185",17185,1,49,4,0.427480916030534,0.432624113475177,0.428983232258173
"17320",17320,1,5,3,0.42371705963939,0.425399028452464,0.424458064354677
"17369",17369,2,19,4,0.424011103400416,0.427491408934708,0.426094156856729
"17372",17372,3,3,3,0.425399028452464,0.427480916030534,0.426439972241499
"17418",17418,1,3,2,0.425399028452464,0.426092990978487,0.425746009715475
"17426",17426,2,9,7,0.42470506592644,0.42470506592644,0.42470506592644
"17427",17427,1,5,2.5,0.424011103400416,0.425399028452464,0.42470506592644
"17474",17474,1,5,3,0.424011103400416,0.426092990978487,0.425052047189452
"17499",17499,1,32,4,0.425295343988881,0.429787234042553,0.427895960551802
"17517",17517,1,33,22.5,0.424410540915395,0.42887323943662,0.426265341324088
"17519",17519,1,38,23,0.423023578363384,0.42887323943662,0.425709736190681
"17525",17525,1,38,24,0.423023578363384,0.42887323943662,0.426046807470153
"17528",17528,2,36,35,0.42371705963939,0.427659574468085,0.42603505769174
"17560",17560,3,34,33,0.42371705963939,0.427659574468085,0.42526239167429
"17570",17570,1,7,4,0.422730422730423,0.42470506592644,0.423672829846401
"17610",17610,1,15,6.5,0.424410540915395,0.426786953504511,0.425638305961436
"17611",17611,1,7,3.5,0.424410540915395,0.426490984743412,0.425360720951027
"17664",17664,3,40,15,0.425104022191401,0.426092990978487,0.425609381162295
"17677",17677,1,49,18,0.425399028452464,0.430240549828179,0.427569921526287
"17685",17685,NA,NA,NA,NA,NA,NA
"17738",17738,1,33,2.5,0.426786953504511,0.430496453900709,0.429187177934945
"17749",17749,1,36,3.5,0.425399028452464,0.428368794326241,0.426111148024011
"17797",17797,1,55,6,0.426950354609929,0.429787234042553,0.42841702718266
"17852",17852,2,42,27,0.42470506592644,0.428368794326241,0.426698133847097
