"","Nodeid","sackin","colless","Variance","I2","B1","B2","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","MeanPairwiseDist","MaxPairwiseDist","diameter","WienerIndex","betweenness","closeness","eigenvector"
"295",25077,1.14134411781804,0.399470441236313,0.00192890677255983,6.81969696969697,9.28333333333333,8.96265693252253,0.133333333333333,0.333333333333333,0.529411764705882,0.4375,8,4,0.5625,0.685897435897436,6,13.1892685682124,-0.221940834941441,1.4377802226048,2.08456521076486,6.88275359433362,0.0240600096730796,0.1534224657,10,2792,329,0.00943396226415094,0.402899851591681
"296",25096,1.21274563662471,0.70376948861123,0.0197976085244044,31.9786327117302,38.9096972471972,37.6945664894354,0.0347222222222222,0.305555555555556,0.283783783783784,0.232876712328767,22,8,0.561643835616438,0.630230035792571,26,66.5231211630997,-5.11327629705344,13.0458143489851,2.53351541249699,9.6636165411072,0.0556876116483418,1.2301372165719,24,114768,6661,0.00104275286757039,0.316380794061987
"297",25174,1.05339700725464,0.493363155296478,0.00386570396577079,22.045702543071,28.4794011544012,27.0680025723604,0.045,0.28,0.403846153846154,0.254901960784314,16,6,0.568627450980392,0.657189843895473,19,43.8632274211114,-4.12460866919352,7.00639788121669,1.9907095578495,6.17297903772003,0.0321695638534042,0.413700054888,19,47778,3329,0.00174216027874564,0.278081257954967
"298",25230,1.37001938854894,0.662912607362388,0.00333861872927464,4.6,3.28333333333333,4.13608920594429,0.5,0.666666666666667,0.375,0.857142857142857,4,2,0.714285714285714,0.518027210884354,2,6.9983510376417,1.72582983833265,1.70033380707088,0.295009780477122,1.41058232782593,0.0267122875925,0.1917819174,7,370,55,0.0294117647058824,0.439793210303564
"299",25284,1.54679608384557,0.928077650307344,0.022158941637755,6,2.45,4.13032586890222,1,1,0.375,1,2,1,0.857142857142857,0.370408163265306,1,6.83343045261836,2.38289392506364,2.63752566923593,NA,NA,0.0748715753359375,0.4246575345,8,378,55,0.0285714285714286,0.436770287997721
"300",25322,1.31568586724842,0.493382200218159,0.0227492345111738,5,5.11666666666667,5.45643796960225,0.333333333333333,0.555555555555556,0.272727272727273,0.6,6,2,0.5,0.643333333333333,3,10.9621817014127,1.44400970930353,2.43954794712423,1.47813256392922,3.54790751913868,0.0794747379242975,0.46301397259,9,912,117,0.0169491525423729,0.396704428781645
"301",25334,1.25925925925926,0.444444444444444,8.069611589416e-05,3.71428571428571,4.58333333333333,3.5563271849262,0,0.428571428571429,0.666666666666667,0.625,4,2,0.5,0.681547619047619,3,15.0440969879103,0.625803742281473,0.490030400031917,1.05749615309368,2.26397061331805,0.00460020699975308,0.021918027353,7,508,85,0.0263157894736842,0.483924152536
"302",25360,1.25982241482861,0.523310849236498,0.0104277191959973,9.43567251461988,11.2095238095238,10.085704807402,0.15,0.4,0.409090909090909,0.380952380952381,12,4,0.619047619047619,0.65223149866007,7,27.2705520950612,-0.227196502370819,3.94186980664565,1.83171558565341,5.56660023518081,0.0481829629745455,0.56438520544,13,5668,539,0.00568181818181818,0.38029077627413
"303",25386,1.78165794523224,1.2334555005454,0.0156057251053425,9,2.82896825396825,5.13407119281875,1,1,0.272727272727273,1,2,1,0.9,0.292896825396825,1,12.9855199617681,2.44769105917006,3.99237967906489,NA,NA,0.0557907845570248,0.4136986301,11,970,109,0.0153846153846154,0.380312169393712
"304",25396,1.25925925925926,0.444444444444444,0.00536305573666914,3.66666666666667,4.58333333333333,3.74016191207227,0,0.428571428571429,0.666666666666667,0.625,6,2,0.625,0.673958333333333,3,13.6689823263019,1.17861932215717,1.35843870388595,1.12022324015679,2.47091246061786,0.0376118518641975,0.2246564384,7,492,79,0.0263157894736842,0.460441245520301
