"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"32",16284,25,24,1.82861213436939,1.28428108041757,0.0547612825153221,15.2338680926916,9.84680042180042,12.0470166436438,0.136363636363636,0.545454545454545,0.375,0.608695652173913,6,2,0.739130434782609,0.459468241419701,6,21.5851293095549,-0.25516982505597,3.5015057137919,1.56563615562881,4.18588326410588,0.105469891552511,0.936986301369863,15,6898,623,0.0053475935828877,0.356761692872885
"33",16331,9,8,1.14904851942814,0.265165042944955,0.0294925341125379,1.16666666666667,4.83333333333333,3.81829676657055,0,0,0,0.571428571428571,4,2,0.285714285714286,0.833333333333333,4,8.82876726825242,-0.00763243870803018,-1.19957419124569,-0.218249563887712,1.45852539099451,0.0873287671232877,0.542465753424658,6,356,61,0.032258064516129,0.479284456073376
"34",16341,8,8,1.28163104090062,0.486135912065751,0.00900188270782762,4.2,3.58333333333333,4.01301507249141,0.333333333333333,0.666666666666667,0.75,0.714285714285714,4,2,0.714285714285714,0.603741496598639,2,7.82266799285,1.21161283566824,0.763141944905827,1.15003012969179,2.70621971712423,0.049786091609589,0.287672602739726,7,366,59,0.0303030303030303,0.454213803677494
"35",16355,29,29,1.30627065476271,0.665941902428048,0.0115596478688556,14.3419080919081,14.2698773448773,14.9212222397157,0.111111111111111,0.407407407407407,0.517241379310345,0.428571428571429,14,6,0.642857142857143,0.602882435025292,9,25.5791350880509,-1.16272570759753,4.94906626276609,1.38202652261471,3.34533596052806,0.060254368022413,0.375342191780822,15,11160,905,0.00401606425702811,0.357838888962972
"36",16401,15,15,1.87624526549604,1.35984748600172,0.017420217999516,11.8181818181818,4.10321067821068,7.05419211658222,0.423076923076923,0.846153846153846,0.2,0.928571428571429,4,2,0.857142857142857,0.304224148867006,2,17.3420760343342,2.11682769691515,4.38104755287444,1.59020461697233,4.0548389326237,0.0658019750380518,0.460272876712329,14,2362,209,0.00862068965517241,0.322679287980112
"37",16422,9,9,1.18518518518519,0.37037037037037,0.0148301930949276,3.76190476190476,4.58333333333333,4.41833396249735,0,0.428571428571429,0.666666666666667,0.625,4,2,0.625,0.670833333333333,3,9.34772007684537,0.679101164609755,0.490030400031917,0.949735088523325,1.90642985651308,0.06291233079655,0.408219643835616,8,528,79,0.0238095238095238,0.480236518638978
"38",16435,74,54,1.11638267083637,0.592212026290172,0.00653078704523822,29.8052747252747,23.7581099456099,28.4668027311548,0.0846153846153846,0.461538461538462,0.222222222222222,0.320754716981132,16,4,0.660377358490566,0.523047199337432,15,41.3235810137694,-4.08367038273997,8.79105514091894,1.26942092617351,3.81929738081788,0.0389519066275814,0.446578082191781,24,62218,3469,0.00140252454417952,0.336518488381138
"39",16439,20,20,2.26960899716229,1.80003472188733,0.0066656230438769,14.9333333333333,5.38072899322899,9.24161753193006,0.722222222222222,0.777777777777778,0.15,0.894736842105263,4,2,0.842105263157895,0.298126648621597,3,24.4699535702743,1.87832083170309,5.39833877739082,1.90904694958166,5.5106301013127,0.0431301376712329,0.326026301369863,18,5346,379,0.0050761421319797,0.377374611665091
"40",16459,13,12,1.44337567297406,0.769800358919501,0.00620186219553159,7.05555555555556,5.09285714285714,6.28916740558577,0.2,0.6,0.5,0.727272727272727,4,2,0.727272727272727,0.509887839433294,3,9.66807419062345,1.5014410970692,2.20177746486465,0.982259684323644,2.3706579006937,0.0414002777777778,0.273972602739726,10,1160,141,0.0144927536231884,0.403442199511563
"41",16484,8,8,1.28163104090062,0.486135912065751,0.0205404753506581,4.2,3.58333333333333,3.39409226962935,0.333333333333333,0.666666666666667,0.75,0.714285714285714,4,2,0.714285714285714,0.603741496598639,2,11.4800203416525,1.65974811965511,0.763141944905827,1.327333196225,3.15658819143601,0.0705480308219178,0.36986301369863,7,366,59,0.0303030303030303,0.454213803677494
